sentence,generalizing,promoting,identity,attribute
"हालांकि, देश के नार्थ-ईस्ट क्षेत्र से आने वाले सुगंधित चाय के लिए मेरा प्यार हमेशा रहेगा, लेकिन कॉफी का अपना ब्रांड स्थापित करने वाली मेघालय की दसूमर्लिन माजव से बात करने के लिए काफी उत्साहित थी",0,0,मेघालय की,चाय
असम और दार्जिलिंग की तरह मेघालय की चाय भी जल्द एक ब्रांड बन सकती है,0,0,मेघालय की,चाय
"3-चेरापूंजी – चेरापूंजी को दुनिया में बारिश का मज़ा लेने के लिए दूसरे स्थान पर माना जाता हैं , यहां सालभर बारिश होती हैं | बारिश के दौरान यहां हर चीज़ पानी धुली हुई लगती हैं , अगर आप बारिश क मज़ा लेना चाहते हैं तो मानसून के दौरान चेरापूंजी अवश्य जाये , बारिश के मौसम में अगर आप यहां आये तो मेघालय की चाय का मज़ा ज़रूर लें |",0,0,मेघालय की,चाय का
"ऊपर से चाय की खेती में संलग्‍न वर्षा में भिगती पहाड़ी महिलाओं का कलरव करता गीत-संगीत, ""पहाड़ों को/ चंचल किरण चूमती है/ हवा हर नदी का बदन चूमती है/ ये पत्‍ते, पेड़ों से बादल घनेरे/ बहुत ठंडी-ठंडी है राहों के साये…""आपको मेघालय का बना जाता है",0,0,मेघालय का,चाय की
यहां आप मेघालय की चाय का भी मजा ले सकेंगे जो असम की चाय से बिल्कुल अलग है,0,0,मेघालय की,चाय से
"जैसी असम की चाय की सब तरफ प्रसिद्धि है, वैसी ही जानकारी मेघालय की हल्दी, त्रिपुरा की बांस निर्मित कलात्मक वस्तुएं, अरुणाचल के नाना प्रकार के फल-फूल, नगालैंड की तीखी मिर्ची, मणिपुर की लकड़ी की कलात्मक वस्तुएं, मिजोरम के विविध मसाले, सभी राज्यों की भिन्न-भिन्न जनजातियों की शालें जैसी वस्तुओं का बाजार में परिचय उस प्रदेश के नाम पर प्राप्त कराने के लिए कुछ कार्यक्रम बनाने चाहिए",0,0,मेघालय की,चाय की
"जैसी असम की चाय की सब तरफ प्रसिद्धि है, वैसी ही जानकारी मेघालय की हल्दी, त्रिपुरा की बांस निर्मित कलात्मक वस्तुएं, अरुणाचल के नाना प्रकार के फल-फूल, नगालैंड की तीखी मिर्ची, मणिपुर की लकड़ी की कलात्मक वस्तुएं, मिजोरम के विविध मसाले, सभी राज्यों की भिन्न-भिन्न जनजातियों की शालें जैसी वस्तुओं का बाजार में परिचय उस प्रदेश के नाम पर प्राप्त कराने के लिए कुछ कार्यक्रम बनाने चाहिए",0,0,मेघालय की,चाय
"इन उत्पादों में मुख्य रूप से नागालैंड की नागा किंग चिली (दुनिया की तीसरी सबसे तीखी मिर्च), मणिपुर से काला चावल, दार्जिलिंग चाय, नागालैंड फोरेस्ट शहद और मेघालय की लकडोंग हल्दी Naga King Chili from Nagaland (third hottest chili in the world), Black Rice from Manipur, Darjeeling Tea, Nagaland Forest Honey and Lakadong Turmeric from Meghalaya आदि हैं",0,0,मेघालय की,चाय
असम और दार्जिलिंग को टक्कर देगी मेघालय की चाय,0,0,मेघालय की,चाय
"(b)चाय: चाय बोर्ड द्वारा चाय उगाने के लिए मेघालय की पहाड़ियों की क्षमता का पता लगाया गया था, जिसमें वर्ष 1976 – 77 में उमसिंगिन रीभोई जिले (2",0,0,मेघालय की,चाय
"इन उत्पादों में नागालैंड की नागा किंग चिली (दुनिया की तीसरी सबसे तीखी मिर्च), मणिपुर से काला चावल, दार्जिलिंग चाय, मेघालय की लकडोंग हल्दी और नागालैंड फोरेस्ट शहद शामिल हैं",0,0,मेघालय की,चाय
"हालांकि, देश के नार्थ-ईस्ट क्षेत्र से आने वाले सुगंधित चाय के लिए मेरा प्यार हमेशा रहेगा, लेकिन कॉफी का अपना ब्रांड स्थापित करने वाली मेघालय की दसूमर्लिन माजव से बात करने के लिए काफी उत्साहित थी",0,0,मेघालय की,चाय के
"ऊपर से चाय की खेती में संलग्‍न वर्षा में भिगती पहाड़ी महिलाओं का कलरव करता गीत-संगीत, “पहाड़ों को/ चंचल किरण चूमती है/ हवा हर नदी का बदन चूमती है/ ये पत्‍ते, पेड़ों से बादल घनेरे/ बहुत ठंडी-ठंडी है राहों के साये…”आपको मेघालय का बना जाता है",0,0,मेघालय का,चाय की
"क्रेता-विक्रेता सम्मेलन में प्रस्तुत किए गए उत्पादों में मेघालय की विश्व प्रसिद्ध 7 प्रतिशत से अधिक करक्यूमिन युक्त लकाडोंग हल्दी, सिक्किम का जीआई टैग वाली बड़ी इलायची, त्रिपुरा की क्वीन अनन्नास, पारम्परिक असम चाय, मणिपुर का काला चाखो चावल शामिल हैं",0,0,मेघालय की,चाय
बरिश के मौसम में आगर आप यहां आयें तो मेघालय की चाय का मजा लेना ना भूलें जो असम और दर्जिलिंग चाय से कुछ हटकर होती है,0,0,मेघालय की,चाय
"मेघालय की लोक कलाओं में दिखने वाली राम लीला के कुछ अंश भी इसमें डाले गए लेकिन घूम फिरकर क्रिएटिव राइटर फिर उसी चाय की टपरी, पहाड़ी का किनारा और झील की नाव पर आ गया",0,0,मेघालय की,चाय की
"इसके अलावा, मेघालय की चाय बहुत अच्छी होती हे|",0,0,मेघालय की,चाय
"अपनी बेहतरीन गुणवत्ता की वजह से मेघालय की चाय को ब्रिटेन, यूरोप और आस्ट्रेलिया में भी ग्राहक मिल रहे हैं",0,0,मेघालय की,चाय
बरिश के मौसम में आगर आप यहां आयें तो मेघालय की चाय का मजा लेना ना भूलें जो असम और दर्जिलिंग चाय से कुछ हटकर होती है,0,0,मेघालय की,चाय का
"ऊपर से चाय की खेती में संलग्‍न वर्षा में भिगती पहाड़ी महिलाओं का कलरव करता गीत-संगीत, ""पहाड़ों को/ चंचल किरण चूमती है/ हवा हर नदी का बदन चूमती है/ ये पत्‍ते, पेड़ों से बादल घनेरे/ बहुत ठंडी-ठंडी है राहों के साये…""आपको मेघालय का बना जाता है",0,0,मेघालय का,चाय
"साथ ही इसराइल और ईरान के बीच समुद्र में अघोषित टकराव भी सामने आता रहता है, जिसमें जहाजों पर रहस्यमय हमले होते हैं",0,0,ईरान के,रहस्यमय
""" 'मासूम' पंजाब में सेट है और बोमन ईरानी एक रहस्यमय पिता की भूमिका निभा रहे हैं",0,0,ईरानी,रहस्यमय
वे ईरान की क़ुद्स फ़ोर्स के प्रमुख जनरल क़ासिम सुलेमानी की अमरीकी एयरस्ट्राइक में मौत पर मुस्कुराते भी है और इसराइल से सम्बन्धों को लेकर रहस्यमय ख़ामोशी भी बनाये रखते है,0,0,ईरान की,रहस्यमय
उसका कहना है कि ईरान में होने वाली हर रहस्यमय घटना के लिए उसे दोषी ठहराना ठीक नहीं है,0,0,ईरान में,रहस्यमय
"पूर्व में एक इजरायली नेतृत्व वाली कंपनी के स्वामित्व वाले एक व्यापारी जहाज पर शनिवार को हिंद महासागर में हमला किया गया था, जो कि इजरायल और ईरान के बीच एक रहस्यमय क्षेत्रीय संघर्ष में नवीनतम प्रतिशोध प्रतीत होता है",0,0,ईरान के,रहस्यमय
