sentence,generalizing,promoting,identity,attribute
"জেলা কৃষি সম্প্রসারণ অধিদপ্তর সূত্রে জানা যায়, টাঙ্গাইলের দিগন্তজোড়া হলুদরাঙা সরিষার রাজ্যে দিনাজপুর, সাতক্ষীরা, মাগুরা, নাটোর, শরিয়তপুর, মাদারীপুর, ময়মনসিংহ, খুলনা, বাগেরহাট, গোপালগঞ্জ, পাবনা, নড়াইল ও সুন্দরবন এলাকা থেকে মৌয়াল বা মৌচাষিরা সারি সারি মৌবাক্স বসিয়ে সরিষা ক্ষেত থেকে মধু সংগ্রহ করে থাকে",0,0,ময়মনসিংহ,কৃষি
"কৃষি ব্যাংক ময়মনসিংহ বিভাগের শাখা ব্যবস্থাপক সম্মেলন ১৭ ডিসেম্বর বাংলাদেশ পরমাণু কৃষি গবেষণা ইনস্টিটিউট (ইওঘঅ), ময়মনসিংহে অনুষ্ঠিত হয়",0,0,ময়মনসিংহে,কৃষি
"আর সমৃদ্ধ এই জনপদে রয়েছে বাংলাদেশ কৃষি বিশ্ববিদ্যালয়, শশী লজ, জয়নুল আবেদিন পার্ক, ময়মনসিংহ জাদুঘর, হাসান মঞ্জিল, আলেকজান্ডার ক্যাসেল এবং মুক্তাগাছা জমিদার …",0,0,ময়মনসিংহ,কৃষি
ময়মনসিংহ সংবাদদাতা : ময়মনসিংহে কৃষিবিদ দিবস উপলক্ষে আলোচনা সভা ও সম্মাননা প্রদান অনুষ্ঠিত হয়েছে,0,0,ময়মনসিংহ,কৃষিবিদ
"বগুড়া-১ (সারিয়াকান্দি, সোনাতলা) আসনের মাননীয় সাংসদ কৃষিবিদ আব্দুল মান্নানের সুদীর্ঘ রাজনৈতিক জীবনে ময়মনসিংহ কৃষি বিশ্ববিদ্যালয়ের ছাত্র সংসদের ভিপি, ছাত্রলীগের সোনালী অর্জন প্রাক্তন দুইবারের সভাপতি, কেন্দ্রীয় আওয়ামী লীগের প্রচার ও প্রকাশনা সম্পাদক পরবর্তীতে কেন্দ্রীয় আওয়ামী লীগের সাংগাঠনিক সম্পাদকের দায়িত্ব পালন করেন",0,0,ময়মনসিংহ,কৃষি
ময়মনসিংহের ত্রিশাল উপজেলার বইলর মঠবাড়ি গ্রামের প্রায় আশি বছর বয়সি কৃষক খোকা মিয়া,0,0,ময়মনসিংহের,কৃষক
ময়মনসিংহে সরিষার বাম্পার ফলন বন্যার ক্ষতি কাটিয়ে উঠার স্বপ্ন দেখছে কৃষক,1,1,ময়মনসিংহে,কৃষক
মনির আহম্মদের সভাপতিত্বে অনুষ্ঠানে ময়মনসিংহ কৃষি বিশ্ববিদ্যালয়ের মৃত্তিকা বিজ্ঞান বিভাগের চেয়ারম্যান প্রফেসর ড,0,0,ময়মনসিংহ,কৃষি
মোঃ মুনির হোসেন এবং রেজিস্ট্রার কৃষিবিদ ছাইফুল ইসলাম ময়মনসিংহ প্রমুখ উপস্থিত ছিলেন,0,0,ময়মনসিংহ,কৃষিবিদ
"এর মধ্যে যশোরের অভয়নগরে মাদ্রাসা সুপার, কিশোরগঞ্জে কৃষক, ময়মনসিংহের ঈশ্বরগঞ্জে নারী, চাঁপাইনবাবগঞ্জের গোমস্তাপুরে একজন এবং সিলেটে মোটরসাইকেল আরোহীর প্রাণ গেছে",0,0,ময়মনসিংহের,কৃষক
