sentence,generalizing,promoting,identity,attribute
"Kedudukan terbaharu itu meletakkan pasukan kebangsaan setanding dengan beberapa pasukan lain seperti Kepulauan Faroe (161), Kepulauan Solomon (162), Bermuda (164) dan Chad (166)",0,0,Bermuda,Kepulauan
Adam dan Hawa terpaksa kembali semula ke Pulau Segitiga Bermuda untuk bertemu Raja Mahdi,0,0,Bermuda,Pulau
"Pada masa ini, hanya sekuriti syarikat yang berdaftar di Hong Kong, China, Bermuda atau Kepulauan Cayman boleh dimasukkan ke dalam senarai bursa saham",0,0,Bermuda,Kepulauan
"Tahun demi tahun, apabila lebih banyak penyenaraian dihantar, Green Book meningkat daripada 15 muka surat kepada lebih daripada 80, termasuk penyertaan untuk Kanada, Mexico, dan akhirnya juga Bermuda, sebuah rantaian pulau di Atlantik yang popular dengan pelancong",0,0,Bermuda,pulau
"""Sarasaland"" adalah tetapan Super Mario Land, yang diperintah oleh Princess Daisy, dan dibahagi menjadi empat kerajaan: Birabuto Kingdom (berdasarkan Mesir Purba), Muda Kingdom (berdasarkan Mu dan Bermuda), Easton Kingdom (berdasarkan Pulau Easter) dan Chai Kingdom (berdasarkan China Purba)",0,0,Bermuda,Pulau
"Untuk pengetahuan pembaca juga, dibelakang dua pulau ini lah terletaknya Segi Bermuda yang ke-2 dan Mariana Trench, boleh rujuk Google untuk penerangan lanjut",0,0,Bermuda,pulau
Di barat daya Lautan Atlantik terdapat lebih kurang 360 pulau-pulau kecil yang dipanggil Kepulauan Bermuda,0,0,Bermuda,Kepulauan
"Kedudukan skuad Harimau Malaya itu meletakan pasukan kebangsaan setanding dengan Singapura yang berkongsi tempat dengan Chad pada posisi ke-162 dunia, Kepulauan Maldives (161) dan Bermuda (160)",0,0,Bermuda,Kepulauan
"Archipelago: Beberapa contoh untuk arkipelagos ialah Kepulauan Bermuda, Kepulauan Canary, Kepulauan Falkland, kepulauan Estonia Barat",0,0,Bermuda,kepulauan
Bermudas mewakili pulau-pulau kecil di Lautan Atlantik,0,0,Bermuda,pulau
"Dan segitiga ini berhampiran dengan satu lagi segitiga yang hebat sepertimana Segitiga Bermuda juga iaitu Segitiga Formosa yang berada di kepulauan Formosa, Taiwan",0,0,Bermuda,kepulauan
"Insurans kesihatan penjajah dan jenama Premier Health mempunyai pejabat di Bermuda, Bahamas, Pulau Cayman dan British Virgin Island",0,0,Bermuda,Pulau
"Banyak yang Ida baca, dajal akan muncul di Segitiga Bermuda bukan di pulau Bermuda",0,0,Bermuda,pulau
"Pada malam tersebut juga, penyerahan bola futsal dan bola sepak takraw juga turut diadakan dan wakil belia iaitu Pengurusi Belia Bermuda MAYC Kampung Tok Pulau En Mohd Firdaus Bin Yusof telah menerima pemberian tersebut",0,0,Bermuda,Pulau
"Kemungkinan ia mempunyai kaitan dengan Dajjal, agak meyakinkan Segitiga Bermuda adalah lokasi di mana pulau misteri itu terletak dan kelihatan seperti satu kemungkinan yang terbaik",0,0,Bermuda,pulau
"Dolar Bermuda hanya diterima dalam sempadan negara pulau kecil dan tidak mempunyai penerimaan umum, sama ada rasmi atau tidak rasmi, di mana sahaja di dunia",0,0,Bermuda,pulau
"Algeria, Antigua dan Barbuda, Argentina, Austria, Bahrain, Barbados, Belgium, Belize, Bermuda, Bosnia dan Herzegovina, Brazil, British Virgin Islands, Brunei Darussalam, Bulgaria, Chile, Côte d'Ivoire, Croatia, Denmark warga Dominica, Kepulauan Falkland, Fiji, Finland, Perancis, Gambia, Jerman dan Gibraltar",0,0,Bermuda,Kepulauan
"Pelawat boleh tinggal selama 90 hari di Amerika Syarikat yang juga termasuk masa yang dihabiskan di Kanada, Mexico, Bermuda, atau pulau-pulau di Caribbean jika kedatangan itu melalui Amerika Syarikat",0,0,Bermuda,pulau
"Terdapat 2 Tempat popular itu ialah Segitiga Bermuda - Bermuda Triangle yang letaknya di antara perairan Florida, Amerika Syarikat - Puerto Rico, Mexico - dan kepulauan Bermuda (sila rujuk peta di bawah) di lautan Atlantik dan Segitiga Naga - Dragon's Triangle (atau dikenali juga sebagai Laut Syaitan) yang letaknya diperairan Jepun iaitu di kepulauan Miyake, Lautan Pasifik, 100 km dari Tokyo",0,0,Bermuda,kepulauan
"Pulau Bermuda adalah destinasi popular untuk majlis perkahwinan, dengan pantai pasir merah jambu menjadi latar belakang yang sempurna untuk gambar-gambar yang tidak dapat dilupakan",0,0,Bermuda,Pulau
• Pandai masakan Ala Thai dan pandai menguruskan dapur,0,0,Thai,pandai
Tapi orang Malaysia pun dah ramai yang pandai masak makanan dari Thai ni,1,1,Thai,pandai
"Alhamdulillah, walaupun tak pandai baca dalam bahasa Thailand, tetapi MrJocko berjaya mendapatkan Sim Card Prepaid AIS 3G dengan hanya 150 Baht atau sekitar RM15 sahaja untuk penggunaan yang Unlimited selama satu minggu",0,0,Thailand,pandai
"Apalagi umat Islam Thai ini sedang merana kerana pemimpin/bijak pandai Islam mereka, terutamanya guru-guru Islam di selatan Thailand ini makin ramai dibunuh oleh PENGGANAS, yang disyaki dari kumpulan “Baju Merah“ dari parti pembangkang UDD yang pro-bekas PM Thailand, bangsa China Thai, Thaksin Shinawatra, yang sekutu kuat Barat-Israel - lihat di lihat di http://www",0,0,Thai,pandai
"Peserta ke-6 sedang beraksi, Tom bercakap bahasa Thailand, (tak sangka dia pandai cakap",0,0,Thailand,pandai
"oke, kembali ke resipi yang kedua ini berasal dari negeri Thailand dan cara untuk membuatnya juga mudah diikuti sekalipun anda tak pandai memasak",0,0,Thailand,pandai
