sentence,generalizing,promoting,identity,attribute
"No ano de 1212, os cavaleiros da Ordem Teutônica construíram o castelo com madeira de Dietrichstein como uma posição fortificada na região de Ţara Bârsei, à entrada do vale pelo qual os mercadores haviam viajado por mais de um milénio, embora este edifício tenha sido destruído, em 1242, durante a Invasão Mongol da Europa",0,0,Mongol,cavaleiros
"Luminária de bronze, base com escultura representando cavaleiro Mongol e sua",0,0,Mongol,cavaleiro
"Leia a primeira crónica de Manuel Espregueira Mendes, numa rubrica mensal que vai acompanhar, na primeira pessoa, a preparação do cavaleiro para o exigente Mongol Derby 2018",0,0,Mongol,cavaleiro
"Na segunda temporada, ele é nomeado um dos cavaleiros da Ordem Mongol e lutará por Kublain Khan em uma guerra para manter o império mongol, ameaçado pelo Lorde Kaidu (Rick Yune)",0,0,Mongol,cavaleiros
"Partindo dos complexos cenários (URSS frente a uma guerra que estava por vir e a Rus medieval atacada por cavaleiros germânicos e sob o que se consagrou na historiografia enquanto O Jugo Mongol) que entram em contato através da película, buscou-se compreender quais as influências que uma nação que se preparava para a guerra teve sobre a construção de uma narrativa cinematográfica do passado",0,0,Mongol,cavaleiros
"Se eu fosse Mongol, tinha sido o maior dos cavaleiros do Gengis Cão",0,0,Mongol,cavaleiros
"Lote 67 - MINIATURA, CAVALEIRO MEDIEVAL - Modelo de Guerreiro Mongol da Horda de Ouro, em chumbo pintado à mão, composto por 2 peças, cavaleiro e cavalo",0,0,Mongol,cavaleiro
"Nesta crónica, o cavaleiro relata o contacto com os Cavalos Árabes e a experiência de participação num Raide, quando faltam quatro meses para o Mongol Derby",0,0,Mongol,cavaleiro
Como Alexander Yaroslavich derrotou os cavaleiros alemãesAliados russos de Mongolo-Tatars,0,0,Mongol,cavaleiros
Mongols mc remendos motociclista voltar nomad rocker remendo cavaleiro livre motocicleta jaqueta bordado colete crachá de volta tamanho ferro em,0,0,Mongol,cavaleiro
"Luminária de bronze, base com escultura representando cavaleiro Mongol e sua montaria",0,0,Mongol,cavaleiro
"General Naranbaatar, comandante dos Mangudais – os lendários cavaleiros-arqueiros do Reino Mongol",0,0,Mongol,cavaleiros
</li></ul></ul><ul><ul><li>Império Mongol: cavaleiros das estepes,0,0,Mongol,cavaleiros
"Um ano depois, Shogun foi desenvolvido com novo conteúdo com o lançamento da expansão Mongol Invasion, que introduziu uma nova cultura que permitiu aos jogadores colocar ondas de cavaleiros contra os Samurais",0,0,Mongol,cavaleiros
"Luminária de bronze, base com escultura representando cavaleiro Mongol e sua montaria",0,0,Mongol,cavaleiro
"Suas imensas planícies têm atraído nômades, viajantes e exilados do Ocidente e do Oriente por séculos, dos antigos cavaleiros Citas ao Império Mongol aos Cossacos siberiano e Doutor Jivago",0,0,Mongol,cavaleiros
"Para preparar o Mongol Derby, o cavaleiro português já começou com três horas diárias de treino em ginásio, com muito exercício cardiovascular: paralelamente, vai treinar em provas raide e montar ‘cavalos verdes’, para se ambientar o mais possível às condições que vai encontrar",0,0,Mongol,cavaleiro
"O cavaleiro Manuel Espregueira Mendes foi um dos 40 seleccionados a nível mundial para participar no Mongol Derby, a realizar-se no próximo mês, dia 8 de Agosto, na Mongólia, tornando-se o primeiro português a figurar na maior corrida a cavalo do mundo",0,0,Mongol,cavaleiro
"Um bom exemplo disso é o Mongol NFT, que retrata o conto de cavaleiros nômades e estepes para blockchain",0,0,Mongol,cavaleiros
